web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710857531-2,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys230217,"£1,250,000",3Bedrooms,3Bathrooms,2Receptions,"223.90 sq m (2,410 sq ft)",Bungalow,"Woodmancote, Henfield, West Sussex, BN5 9BA",EPC rating: E
1710857533-3,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrsclv230324,"£2,300,000",4Bedrooms,2Bathrooms,2Receptions,"271.93 sq m (2,927 sq ft)",House,"Woodmancote, Henfield, West Sussex, BN5 9ST",EPC Rating: F
1710857535-4,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys230278,"£2,650,000",6Bedrooms,5Bathrooms,1Receptions,"375.14 sq m (4,038 sq ft)",House,"Brighton, East Sussex, BN2 5RA",EPC Rating: B
1710857537-5,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys120145,"£1,695,000",4Bedrooms,3Bathrooms,5Receptions,"299.98 sq m (3,229 sq ft)",House,"Hurstpierpoint, Hassocks, West Sussex, BN6 9AD",EPC Rating: D
1710857541-7,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys220102,"£2,250,000",6Bedrooms,3Bathrooms,3Receptions,"460.15 sq m (4,953 sq ft)",House,"Lewes, East Sussex, BN8 5RJ",EPC Rating: E
1710857543-8,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrsclv233637,"£1,325,000",4Bedrooms,3Bathrooms,1Receptions,"178.28 sq m (1,919 sq ft)",House,"Streat, BN6 8SA",EPC Rating: C
1710857551-12,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys230154,"£450,000",3Bedrooms,2Bathrooms,1Receptions,"95.97 sq m (1,033 sq ft)",House,"South Chailey, Lewes, East Sussex, BN8 4FN",EPC Rating: C
1710857554-13,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys190223,"£1,250,000",4Bedrooms,3Bathrooms,2Receptions,"206.06 sq m (2,218 sq ft)",House,"Plumpton, Lewes, East Sussex, BN7 3AH",EPC Rating: C
1710857556-14,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrscli216745,"£2,000,000",6Bedrooms,4Bathrooms,4Receptions,"433.95 sq m (4,671 sq ft)",House,"Plumpton, Lewes, East Sussex, BN7 3AB",EPC Rating: D
1710857558-15,https://search.savills.com/com/en/list?SearchList=Id_37611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhhrshys230289,"£3,500,000",5Bedrooms,6Bathrooms,5Receptions,"605.63 sq m (6,519 sq ft)",House,"Poynings, Brighton, West Sussex, BN45 7AG",EPC Rating: C
