web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710854594-1,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsmls200260,"£825,000",2Bedrooms,1Bathrooms,1Receptions,74.23 sq m (799 sq ft),House,"Marlow, Buckinghamshire, SL7 2BZ",EPC Rating: D
1710854597-2,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes240003,"£565,000",3Bedrooms,2Bathrooms,1Receptions,"105.26 sq m (1,133 sq ft)",Flat / Apartment,"Hambleden, Henley-on-Thames, Oxfordshire, RG9 3AF",EPC Rating: E
1710854599-3,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrscli223817,"£1,650,000",5Bedrooms,3Bathrooms,3Receptions,"222.60 sq m (2,396 sq ft)",House,"Marlow, Buckinghamshire, SL7 2DD",EPC Rating: C
1710854602-4,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsmls220110,"£1,350,000",4Bedrooms,3Bathrooms,3Receptions,"167.41 sq m (1,802 sq ft)",House,"Medmenham, Marlow, Buckinghamshire, SL7 2HW",EPC Rating: B
1710854604-5,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsmls240035,"£1,075,000",4Bedrooms,2Bathrooms,2Receptions,"182.55 sq m (1,965 sq ft)",House,"Marlow, Buckinghamshire, SL7 3LW",EPC Rating: C
1710854607-6,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwdrswds240057,"£1,295,000",5Bedrooms,3Bathrooms,2Receptions,"243.87 sq m (2,625 sq ft)",House,"Maidenhead, Berkshire, SL6 8DZ",EPC Rating: D
1710854610-7,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsmls230223,"£2,500,000",5Bedrooms,4Bathrooms,3Receptions,"371.52 sq m (3,999 sq ft)",House,"Marlow, Buckinghamshire, SL7 1QN",EPC Rating: B
1710854613-8,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsbcs170096,"£3,250,000",6Bedrooms,5Bathrooms,5Receptions,"644.19 sq m (6,934 sq ft)",House,"Bourne End, Buckinghamshire, SL8 5JJ",EPC Rating: C
1710854615-9,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsclv230511,"£2,999,950",5Bedrooms,2Bathrooms,5Receptions,"401.71 sq m (4,324 sq ft)",House,"Cookham Dean, Berkshire, SL6 9AQ",EPC Rating: E
1710854618-10,https://search.savills.com/com/en/list?SearchList=Id_13611+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwdrsclv231626,"£1,750,000",5Bedrooms,4Bathrooms,4Receptions,"272.48 sq m (2,933 sq ft)",New development,"Maidenhead, Berkshire, SL6 8NX",EPC Rating: B
