web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710807856-2,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbbfrsbcs230203,"£1,250,000",5Bedrooms,4Bathrooms,2Receptions,"226.68 sq m (2,440 sq ft)",Bungalow,"Burnham, Slough, SL1 8JN",EPC Rating: E
1710807866-6,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes230278,"£1,195,000",4Bedrooms,3Bathrooms,5Receptions,"191.29 sq m (2,059 sq ft)",House,"Rotherfield Greys, Henley-on-Thames, Oxfordshire, RG9 4BQ",EPC Rating: B
1710807886-14,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes240062,"£995,000",2Bedrooms,2Bathrooms,1Receptions,"121.80 sq m (1,311 sq ft)",House,"35 Queen Street, Henley-On-Thames, RG9 1AR",EPC Rating: C
1710807888-15,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes240086,"£1,250,000",4Bedrooms,2Bathrooms,2Receptions,"187.48 sq m (2,018 sq ft)",New development,"Lane End, High Wycombe, Buckinghamshire, HP14 3HT",EPC Rating: B
1710807890-16,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes160147,"£1,700,000",4Bedrooms,4Bathrooms,4Receptions,"278.62 sq m (2,999 sq ft)",House,"Wargrave, Reading, RG10 8BS",EPC Rating: D
1710807892-17,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&profile=fd2896eb-eb54-4598-bf7f-3cc0a81dfb29&tracking=true&functional=true&_gl=1*1015mm7*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_LSN1Z5623G*MTcxMDgwNjkwMC4yLjEuMTcxMDgwNzY4Ni4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes240031,"£895,000",4Bedrooms,2Bathrooms,3Receptions,"154.68 sq m (1,665 sq ft)",House,"Peppard Common, Henley-on-Thames, Oxfordshire, RG9 5HJ",EPC Rating: E
1710808752-3,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&CurrentPage=2,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes240012,"£795,000",3Bedrooms,2Bathrooms,2Receptions,"128.95 sq m (1,388 sq ft)",House,"Kingwood, Henley-on-Thames, Oxfordshire, RG9 5NG",EPC Rating: D
1710808767-10,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&CurrentPage=2,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbbfrsbcs230237,"£695,000",2Bedrooms,1Bathrooms,3Receptions,"134.52 sq m (1,448 sq ft)",House,"Beaconsfield, Buckinghamshire, HP9 1TZ",EPC Rating: D
1710808769-11,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&CurrentPage=2,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbhershes230243,"£835,000",2Bedrooms,2Bathrooms,1Receptions,"99.96 sq m (1,076 sq ft)",Flat / Apartment,"Station Road, Henley-on-Thames, Oxfordshire, RG9 1AF",EPC Rating: B
1710808773-13,https://search.savills.com/com/en/list?SearchList=Id_37509+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&CurrentPage=2,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbmwrsbcs170096,"£3,250,000",6Bedrooms,5Bathrooms,5Receptions,"644.19 sq m (6,934 sq ft)",House,"Bourne End, Buckinghamshire, SL8 5JJ",EPC Rating: C
