web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710856837-1,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg230067,"£825,000",3Bedrooms,2Bathrooms,2Receptions,"202.99 sq m (2,185 sq ft)",Flat / Apartment,"Duncton, Petworth, West Sussex, GU28 0QU",EPC Rating: D
1710856840-2,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg190185,"£1,550,000",3Bedrooms,3Bathrooms,7Receptions,"392.89 sq m (4,229 sq ft)",Flat / Apartment,"Burton Park, Duncton, Petworth, GU28 0QU",EPC Rating: E
1710856842-3,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg230031,"£1,500,000",6Bedrooms,4Bathrooms,4Receptions,"365.02 sq m (3,929 sq ft)",House,"Yapton, Arundel, West Sussex, BN18 0DX",EPC Rating: E
1710856849-6,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg230099,"£1,100,000",4Bedrooms,3Bathrooms,4Receptions,"330.55 sq m (3,558 sq ft)",House,"Easebourne, Midhurst, West Sussex, GU29 9AD",EPC Rating: D
1710856854-8,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg230201,"£725,000",3Bedrooms,2Bathrooms,1Receptions,"103.87 sq m (1,118 sq ft)",Bungalow,"Graffham, Petworth, West Sussex, GU28 0PX",EPC Rating: E
1710856856-9,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrsclv232096,"£645,000",2Bedrooms,1Bathrooms,2Receptions,"117.62 sq m (1,266 sq ft)",House,"Midhurst, West Sussex, GU29 0HD",EPC Rating: G
1710856859-10,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg240006,"£360,000",4Bedrooms,1Bathrooms,2Receptions,"97.08 sq m (1,045 sq ft)",House,"Petworth, West Sussex, GU28 0EY",EPC Rating: D
1710856861-11,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg230186,"£625,000",3Bedrooms,2Bathrooms,1Receptions,"122.72 sq m (1,321 sq ft)",Flat / Apartment,"Midhurst, West Sussex, GU29 0FF",EPC Rating: B
1710856864-12,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gblhchlac230122,"£4,850,000",6Bedrooms,4Bathrooms,4Receptions,"456.99 sq m (4,919 sq ft)",House,"Bosham, Chichester, West Sussex, PO18 8QL",EPC Rating: F
1710856867-13,https://search.savills.com/com/en/list?Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W3sidHlwZSI6IkNpcmNsZSIsImNvb3JkaW5hdGVzIjpbLTAuNzc5MjEsNTAuODM2NDFdLCJyYWRpdXMiOiIyMTAxMW0iLCJsb2NhdGlvbklkIjoiNDAxMTIvN2JjNzA3ZGYtNTRmZi00MDczLTg5YWEtZGYzMGUwODVlMmRjIn1d,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbpwrspsg240004,"£375,000",3Bedrooms,1Bathrooms,2Receptions,"97.36 sq m (1,048 sq ft)",House,"Petworth, West Sussex, GU28 0EF",EPC Rating: C
