web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710861488-1,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus240031,"£1,750,000",5Bedrooms,3Bathrooms,4Receptions,"2,948 sq ft (273.88 sq m)",House,"Guildford, Surrey, GU1 2RS",EPC Rating: D
1710861491-2,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus230224,"£1,399,950",5Bedrooms,3Bathrooms,2Receptions,"1,938 sq ft (180.05 sq m)",House,"Guildford, Surrey, GU2 4JE",EPC Rating: C
1710861493-3,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgurscli236537,"£1,750,000",6Bedrooms,3Bathrooms,4Receptions,"3,170 sq ft (294.50 sq m)",House,"Shackleford, Godalming, Surrey, GU8 6AB",EPC Rating: E
1710861496-4,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbcorscbs220109,"£1,250,000",4Bedrooms,2Bathrooms,2Receptions,"2,292 sq ft (212.93 sq m)",House,"Bookham, Leatherhead, Surrey, KT23 4LF",EPC Rating: B
1710861499-5,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus240035,"£675,000",2Bedrooms,2Bathrooms,2Receptions,986 sq ft (91.60 sq m),House,"Guildford, Surrey, GU1 3SB",EPC Rating: D
1710861501-6,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursclv232760,"£1,750,000",5Bedrooms,3Bathrooms,4Receptions,"2,807 sq ft (260.78 sq m)",House,"Guildford, Surrey, GU1 2JN",EPC Rating: D
1710861508-9,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus230344,"£540,000",2Bedrooms,2Bathrooms,1Receptions,880 sq ft (81.75 sq m),Flat / Apartment,"Guildford, Surrey, GU1 3TQ",EPC Rating: E
1710861511-10,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbwyrswes210214,"£3,950,000",7Bedrooms,5Bathrooms,4Receptions,"3,988 sq ft (370.50 sq m)",House,"St George's Hill, Weybridge, Surrey, KT13 0NF",EPC Rating: E
1710861513-11,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus230157,"£1,495,000",4Bedrooms,3Bathrooms,3Receptions,"2,990 sq ft (277.78 sq m)",Flat / Apartment,"Godalming, Surrey, GU8 5AW",EPC Rating: D
1710861516-12,https://search.savills.com/list?SearchList=Id_11871+Category_Station&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbgursgus240040,"£1,250,000",4Bedrooms,2Bathrooms,5Receptions,"1,944 sq ft (180.60 sq m)",House,"Hambledon, Godalming, Surrey, GU8 4HD",EPC Rating: E
