web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC,,
1710855372-2,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240041,"£2,675,000",6Bedrooms,4Bathrooms,3Receptions,"424.75 sq m (4,572 sq ft)",House,"Shawford, Winchester, Hampshire, SO21 2BY",EPC Rating: C,,
1710855374-3,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrsclv234011,"£1,150,000",3Bedrooms,4Bathrooms,2Receptions,"209.87 sq m (2,259 sq ft)",House,"High Street, Hamble, Southampton, SO31 4BQ",EPC Rating: C,,
1710855380-5,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230120,"£2,250,000",5Bedrooms,4Bathrooms,3Receptions,"441.85 sq m (4,756 sq ft)",House,"Compton, Winchester, Hampshire, SO21 2AP",EPC Rating: C,,
1710855391-9,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230424,"£2,000,000",5Bedrooms,2Bathrooms,3Receptions,"400.97 sq m (4,316 sq ft)",House,"Owslebury, Winchester, Hampshire, SO21 1LU",EPC Rating: F,,
1710855393-10,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240061,"£2,750,000",6Bedrooms,5Bathrooms,3Receptions,"517.84 sq m (5,574 sq ft)",House,"Compton, Winchester, Hampshire, SO21 2AD",EPC Rating: F,,
1710855396-11,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240043,"£2,950,000",5Bedrooms,4Bathrooms,3Receptions,"407.94 sq m (4,391 sq ft)",House,"Shawford, Winchester, Hampshire, SO21 2DA",EPC Rating: B,,
1710855398-12,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230199,"£1,250,000",4Bedrooms,2Bathrooms,3Receptions,"202.71 sq m (2,182 sq ft)",House,"Chandler's Ford, Eastleigh, Hampshire, SO53 5AE",EPC Rating: D,,
1710855401-13,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240009,"£950,000",5Bedrooms,3Bathrooms,2Receptions,"218.88 sq m (2,356 sq ft)",House,"Bursledon, Southampton, Hampshire, SO31 8AT",EPC Rating: C,,
1710855403-14,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240076,"£1,650,000",5Bedrooms,3Bathrooms,4Receptions,"284 sq m (3,057 sq ft)",House,"Winchester, Hampshire, SO21 2LD",EPC Rating: F,,
1710855406-15,https://search.savills.com/com/en/list?SearchList=Id_37603+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230216,"£1,695,000",4Bedrooms,4Bathrooms,3Receptions,"265.98 sq m (2,863 sq ft)",House,"Shedfield, Southampton, Hampshire, SO32 2HP",EPC Rating: C,,
