web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710856026-1,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwbrscli236245,"£850,000",4Bedrooms,2Bathrooms,4Receptions,"259.29 sq m (2,791 sq ft)",House,"Andover, Hampshire, SP11 9QT",EPC Rating: E
1710856028-2,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230216,"£1,695,000",4Bedrooms,4Bathrooms,3Receptions,"265.98 sq m (2,863 sq ft)",House,"Shedfield, Southampton, Hampshire, SO32 2HP",EPC Rating: C
1710856031-3,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240026,"£750,000",2Bedrooms,2Bathrooms,1Receptions,"119.57 sq m (1,287 sq ft)",Penthouse,"Winchester, Hampshire, SO22 5HE",EPC Rating: B
1710856034-4,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbsarssas040201,"£1,350,000",5Bedrooms,4Bathrooms,3Receptions,"246.94 sq m (2,658 sq ft)",House,"Salisbury, Wiltshire, SP5 2SJ",EPC Rating: D
1710856037-5,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbfarsfas230169,"£2,750,000",5Bedrooms,4Bathrooms,3Receptions,"426.80 sq m (4,594 sq ft)",House,"Upper Farringdon, Alton, Hampshire, GU34 3DT",EPC Rating: D
1710856042-7,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230325,"£760,000",4Bedrooms,3Bathrooms,2Receptions,"198.81 sq m (2,140 sq ft)",House,"Larkwhistle Farm Road, West Stratton, Winchester, SO21 3QY",EPC Rating: C
1710856045-8,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns230468,"£1,350,000",4Bedrooms,4Bathrooms,3Receptions,"209.68 sq m (2,257 sq ft)",House,"Winchester, Hampshire, SO22 5HJ",EPC Rating: B
1710856047-9,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwbrsclv242205,"£1,200,000",5Bedrooms,3Bathrooms,4Receptions,"257.90 sq m (2,776 sq ft)",House,"Andover, Hampshire, SP11 0RZ",EPC Rating: D
1710856050-10,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbsarssas200152,"£1,600,000",4Bedrooms,3Bathrooms,3Receptions,"299.98 sq m (3,229 sq ft)",House,"Salisbury, Wiltshire, SP5 1HN",EPC Rating: E
1710856064-15,https://search.savills.com/com/en/list?SearchList=Id_37581+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Month&ResidentialSizeUnit=SquareMeter&LandAreaUnit=Hectare&SaleableAreaUnit=SquareMeter&AvailableSizeUnit=SquareMeter&Category=GRS_CAT_RES&LocationKey=england&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/com/en/property-detail/gbwnrswns240044,"£2,250,000",5Bedrooms,4Bathrooms,4Receptions,"238.95 sq m (2,572 sq ft)",House,"Winchester, Hampshire, SO23 9SU",EPC Rating: C
