web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710807522-1,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230267,"£1,500,000",4Bedrooms,4Bathrooms,3Receptions,"3,162 sq ft (293.76 sq m)",House,"Great Haseley, Oxford, Oxfordshire, OX44 7JG",EPC Rating: D
1710807524-2,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus240042,"£1,600,000",5Bedrooms,3Bathrooms,2Receptions,"2,050 sq ft (190.45 sq m)",House,"Oxford, Oxfordshire, OX2 7QB",EPC Rating: C
1710807526-3,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230157,"£1,050,000",5Bedrooms,2Bathrooms,4Receptions,"2,031 sq ft (188.69 sq m)",House,"Oxford, Oxfordshire, OX2 8HX",EPC Rating: E
1710807528-4,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230373,"£900,000",5Bedrooms,2Bathrooms,2Receptions,"2,124 sq ft (197.33 sq m)",House,"Garsington, Oxford, Oxfordshire, OX44 9DJ",EPC Rating: D
1710807530-5,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230457,"£1,300,000",5Bedrooms,4Bathrooms,2Receptions,"3,110 sq ft (288.93 sq m)",House,"Oxford, Oxfordshire, OX33 1AY",EPC Rating: D
1710807534-7,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus240084,"£300,000",1Bedrooms,1Bathrooms,1Receptions,574 sq ft (53.33 sq m),Flat / Apartment,"Headington, Oxford, Oxfordshire, OX3 9FG",EPC Rating: B
1710807536-8,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230096,"£2,850,000",5Bedrooms,3Bathrooms,4Receptions,"2,612 sq ft (242.66 sq m)",House,"Oxford, Oxfordshire, OX2 6SJ",EPC Rating: D
1710807539-9,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus220312,"£1,150,000",5Bedrooms,3Bathrooms,1Receptions,"2,055 sq ft (190.92 sq m)",House,"Oxford, OX2 6XW",EPC Rating: C
1710807541-10,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrshes230196,"£995,000",5Bedrooms,2Bathrooms,3Receptions,"2,800 sq ft (260.13 sq m)",House,"East Hanney, Wantage, Oxfordshire, OX12 0HQ",EPC Rating: E
1710807545-12,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus240025,"£2,125,000",4Bedrooms,3Bathrooms,3Receptions,"3,227 sq ft (299.80 sq m)",New development,"Oxford, Oxfordshire, OX2 8BU",EPC Rating: A
1710807547-13,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus230076,"£5,500,000",6Bedrooms,4Bathrooms,6Receptions,"7,452 sq ft (692.31 sq m)",House,"Oxford, OX4 1PE",EPC Rating: C
1710807549-14,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus240074,"£2,000,000",5Bedrooms,3Bathrooms,2Receptions,"1,947 sq ft (180.88 sq m)",House,"Oxford, Oxfordshire, OX1 2JW",EPC Rating: D
1710807551-15,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrsclv242894,"£2,250,000",6Bedrooms,4Bathrooms,3Receptions,"4,266 sq ft (396.32 sq m)",House,"Oxford, OX2 9AS",EPC Rating: C
1710807553-16,https://search.savills.com/list?SearchList=Id_37465+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&Period=Week&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareFeet&AvailableSizeUnit=SquareFeet&Category=GRS_CAT_RES&LocationKey=uk&Shapes=W10,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbswrssus240133,"£1,650,000",5Bedrooms,4Bathrooms,4Receptions,"3,906 sq ft (362.88 sq m)",House,"Oxford, OX2 8AA",EPC Rating: B
